open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678928520000,24268.18144248,24279.52466268,24255.30000000,24263.60000000,0,1678928579999,0,60,0,0,0
1678928580000,24260.58870324,24264.50000000,24211.62222333,24221.30000000,0,1678928639999,0,60,0,0,0
1678928640000,24225.60000000,24253.20000000,24216.25697556,24253.20000000,0,1678928699999,0,60,0,0,0
1678928700000,24251.76829084,24273.27036601,24244.70000000,24269.97862417,0,1678928759999,0,60,0,0,0
1678928760000,24268.31824154,24270.66006175,24243.60687540,24260.40000000,0,1678928819999,0,60,0,0,0
1678928820000,24264.30000000,24274.69270907,24259.10000000,24265.60000000,0,1678928879999,0,60,0,0,0
1678928880000,24265.50000000,24266.01965014,24238.30963577,24244,0,1678928939999,0,60,0,0,0
1678928940000,24245.90000000,24253.35157350,24234.70000000,24239.10000000,0,1678928999999,0,60,0,0,0
1678929000000,24238.70000000,24264.10000000,24228.57089772,24249.80437361,0,1678929059999,0,60,0,0,0
1678929060000,24254.60000000,24256.36437369,24238.89850394,24256.36437369,0,1678929119999,0,60,0,0,0
1678929120000,24255.40692626,24276.47797769,24255.40692626,24270.50545163,0,1678929179999,0,60,0,0,0
1678929180000,24269.82064986,24275.61475760,24254.47736072,24259.80958899,0,1678929239999,0,60,0,0,0
1678929240000,24260.16664034,24272.89562893,24245.35439637,24247.60000000,0,1678929299999,0,60,0,0,0
1678929300000,24247.50000000,24247.66067193,24198.16203361,24203.30000000,0,1678929359999,0,60,0,0,0
1678929360000,24202.50000000,24204.80000000,24179.28606220,24182.64659066,0,1678929419999,0,60,0,0,0
1678929420000,24183.20000000,24185.60000000,24140.80312895,24159.97915326,0,1678929479999,0,60,0,0,0
1678929480000,24157.52824169,24190.02355849,24157.52824169,24177.07876579,0,1678929539999,0,60,0,0,0
1678929540000,24178.83895947,24184.81173396,24136.67995544,24141.94964442,0,1678929599999,0,60,0,0,0
1678929600000,24142.46746225,24204.28440025,24142.46746225,24204.28440025,0,1678929659999,0,60,0,0,0
1678929660000,24205.65967549,24228.74235571,24182.01648889,24228.74235571,0,1678929719999,0,60,0,0,0
1678929720000,24237.89965953,24269.77825251,24237.89965953,24255.60000000,0,1678929779999,0,60,0,0,0
1678929780000,24255.60000000,24260.57455716,24216.30000000,24222.80000000,0,1678929839999,0,60,0,0,0
1678929840000,24221.40000000,24231.54756021,24200.60108021,24228.10000000,0,1678929899999,0,60,0,0,0
1678929900000,24228,24260.10000000,24228,24236.92315861,0,1678929959999,0,60,0,0,0
1678929960000,24235.17564230,24239.41710097,24225.45403017,24239.17320012,0,1678930019999,0,60,0,0,0
1678930020000,24239.89743850,24250.02166870,24236.21782648,24245.96885788,0,1678930079999,0,60,0,0,0
1678930080000,24243.30000000,24260.50385835,24241.90000000,24248.10000000,0,1678930139999,0,60,0,0,0
1678930140000,24245.50282475,24255.38006512,24237.40000000,24254,0,1678930199999,0,60,0,0,0
1678930200000,24254,24276.72343781,24243.40000000,24273.81852224,0,1678930259999,0,60,0,0,0
1678930260000,24273.23834406,24277.43409157,24266.50000000,24277.43409157,0,1678930319999,0,60,0,0,0
1678930320000,24275.91871818,24283.44877906,24254.80000000,24283.44877906,0,1678930379999,0,60,0,0,0
1678930380000,24287.27700315,24287.42648086,24271.80000000,24286.53231138,0,1678930439999,0,60,0,0,0
1678930440000,24286.72613738,24318.42327208,24285.26293846,24311.18416830,0,1678930499999,0,60,0,0,0
1678930500000,24311.23436252,24312.78899630,24288.71125006,24292,0,1678930559999,0,60,0,0,0
1678930560000,24290.36747924,24303.18250147,24280.88999079,24296.79932017,0,1678930619999,0,60,0,0,0
1678930620000,24295.60000000,24299.30528948,24285.20000000,24297.10000000,0,1678930679999,0,60,0,0,0
1678930680000,24297.10000000,24297.85101827,24277.60000000,24287,0,1678930739999,0,60,0,0,0
1678930740000,24287,24301.57937849,24285.44234874,24294.30000000,0,1678930799999,0,60,0,0,0
1678930800000,24296,24297.80000000,24281.37715504,24283.27843132,0,1678930859999,0,60,0,0,0
1678930860000,24283.89386316,24289.28673114,24272.26527697,24286.79712489,0,1678930919999,0,60,0,0,0
1678930920000,24286.88422166,24288.69358479,24266.93988957,24283.07444028,0,1678930979999,0,60,0,0,0
1678930980000,24282.82037938,24292.13754196,24273.85453377,24275.91320978,0,1678931039999,0,60,0,0,0
1678931040000,24275.56353141,24276.58343710,24264.75869054,24268.83887915,0,1678931099999,0,60,0,0,0
1678931100000,24268.83887915,24290.05652622,24267.53202336,24271.56047586,0,1678931159999,0,60,0,0,0
1678931160000,24272.49512828,24272.50000000,24234.34850187,24247.15576875,0,1678931219999,0,60,0,0,0
1678931220000,24246.20000000,24272.16505489,24246.10000000,24269.74404768,0,1678931279999,0,60,0,0,0
1678931280000,24269.42381224,24281.91534579,24262.44079692,24278.83719499,0,1678931339999,0,60,0,0,0
1678931340000,24277.97386494,24296.58162010,24277.97386494,24293.43548364,0,1678931399999,0,60,0,0,0
1678931400000,24294.13768319,24297.72449956,24290.90000000,24295.78619548,0,1678931459999,0,60,0,0,0
1678931460000,24295.88301161,24317.42479933,24295.88301161,24312.61016132,0,1678931519999,0,60,0,0,0
1678931520000,24312.90454971,24321.49520105,24307.26840023,24316.45748905,0,1678931579999,0,60,0,0,0
1678931580000,24318.39109888,24337.76413547,24316.57195706,24316.57195706,0,1678931639999,0,60,0,0,0
1678931640000,24316.01625753,24327.86854376,24314.90155220,24326.78062881,0,1678931699999,0,60,0,0,0
1678931700000,24326.78062881,24338.49137222,24318.64953543,24318.64953543,0,1678931759999,0,60,0,0,0
1678931760000,24318.27308663,24326.63351205,24315.06936547,24315.07541948,0,1678931819999,0,59,0,0,0
1678931820000,24315.64742133,24318.01505823,24310.70876824,24317.51513357,0,1678931879999,0,60,0,0,0
1678931880000,24318.58625817,24326.29056744,24310.52242536,24316.60000000,0,1678931939999,0,60,0,0,0
1678931940000,24316.52086104,24325.38308846,24315.09236125,24325.38308846,0,1678931999999,0,60,0,0,0
1678932000000,24324.81954964,24336.06458130,24322.16960784,24335.83024461,0,1678932059999,0,60,0,0,0
1678932060000,24336.08974256,24344.73854425,24317.94905610,24323.19058315,0,1678932119999,0,60,0,0,0
1678932120000,24323.19049870,24325.80000000,24314.86241412,24316.39628751,0,1678932179999,0,59,0,0,0
1678932180000,24314.94025534,24319.60359053,24307.12427139,24311.37319217,0,1678932239999,0,60,0,0,0
1678932240000,24310.83135335,24313.00246916,24306.16477519,24311.42441142,0,1678932299999,0,60,0,0,0
1678932300000,24311.42432702,24328.53807386,24311.42432702,24327.00893671,0,1678932359999,0,60,0,0,0
1678932360000,24328.36796340,24350.11846533,24328.32327443,24350.11846533,0,1678932419999,0,60,0,0,0
1678932420000,24353.66089807,24367.43230802,24350.53362366,24367.43230802,0,1678932479999,0,60,0,0,0
1678932480000,24367.43230802,24398.40346253,24367.43230802,24393.89781195,0,1678932539999,0,60,0,0,0
1678932540000,24392.60000000,24396.50000000,24379.70000000,24393.20000000,0,1678932599999,0,60,0,0,0
